name,owner,category,user_count,annual_cost_usd,renewal_date,sso_status,utilization_pct,status
Okta,k.okonkwo,Security,312,48000,2027-01-15,SSO,98,active
GitHub Enterprise,t.park,Engineering,184,36800,2026-08-01,SSO,91,active
Slack,a.reyes,Productivity,298,42240,2026-09-15,SSO,94,active
Salesforce,m.chen,CRM,62,78000,2026-06-30,SSO,88,active
Figma,l.wu,Design,48,14400,2026-07-01,SSO,76,active
Notion,p.garcia,Productivity,156,18720,2026-10-01,SSO,54,active
Zoom,a.reyes,Productivity,312,24960,2026-11-15,SSO,83,active
Jira Software,t.park,Engineering,184,22080,2026-08-01,SSO,79,active
Workday,h.santos,HR,6,62000,2027-02-01,SSO,100,active
NetSuite,r.mehta,Finance,18,84000,2026-12-01,SSO,100,active
Looker,d.larsson,Analytics,34,45000,2026-06-15,SSO,47,active
Miro,l.wu,Productivity,72,8640,2026-07-15,MFA-only,38,active
Loom,p.garcia,Productivity,112,13440,2026-08-20,MFA-only,31,active
1Password Teams,k.okonkwo,Security,228,13680,2026-09-01,SSO,86,active
PagerDuty,t.park,Engineering,42,16800,2026-06-01,SSO,100,active
Datadog,t.park,Engineering,38,32000,2026-07-15,SSO,89,active
Intercom,s.okonkwo,Customer Success,24,28800,2026-06-20,MFA-only,72,active
HubSpot Marketing,b.leung,Marketing,14,21600,2026-08-15,SSO,61,active
Webflow,b.leung,Marketing,8,3960,2026-09-01,MFA-only,38,active
Asana,j.foster,Project Management,89,16020,2026-07-01,SSO,44,active
Monday.com,m.torres,Project Management,31,7440,2026-06-10,MFA-only,28,active
Calendly,TBD,Productivity,45,5400,2026-06-25,None,22,active
Grammarly Business,TBD,Productivity,68,8160,2026-07-20,None,35,active
Descript,TBD,Media,12,2880,2026-08-01,None,17,active
AWS (Production),k.okonkwo,Engineering,0,0,2099-01-01,SSO,100,active
GCP,t.park,Engineering,0,0,2099-01-01,SSO,100,active
Rippling,TBD,HR,0,0,2026-06-05,MFA-only,0,shadow-it
