Skill,Category,Proficiency,Years,Evidence,ATS Keywords
"Product Strategy",Leadership,Expert,6,"Roadmaps, OKRs, vision docs at 3 companies","product strategy, roadmap, product vision, OKRs"
"Product-Led Growth",Growth,Expert,4,"Grew MRR 3x, activation +34%","PLG, product-led growth, activation, self-serve"
"Developer Experience",Domain,Expert,4,"API console, SDK v3, DX platform","developer experience, DX, developer tools, API"
"Cross-functional Leadership",Leadership,Expert,6,"Teams of 5-15, PM+Eng+Design","cross-functional, stakeholder management, leadership"
"User Research",Research,Advanced,5,"200+ interviews, research repos","user research, customer interviews, usability testing"
"A/B Testing",Analytics,Advanced,4,"40+ experiments, Amplitude, Optimizely","A/B testing, experimentation, statistical significance"
"Data Analysis",Technical,Advanced,5,"SQL, Python, dbt, Amplitude, Looker","data analysis, SQL, analytics, metrics"
"SQL",Technical,Advanced,6,"Complex queries, window functions, dbt models","SQL, database, queries, data modeling"
"Python",Technical,Intermediate,5,"Scripts, data analysis, automation, basic ML","Python, scripting, automation"
"Technical Architecture",Technical,Intermediate,4,"SOA migration, API design, system design","architecture, system design, API design, microservices"
"Team Building",Leadership,Advanced,3,"Hired 3 PMs, built team 1→4, mentored engineers","hiring, team building, mentoring, scaling"
"Agile/Scrum",Process,Advanced,6,"Sprint planning, backlog management, retrospectives","Agile, Scrum, sprint planning, product owner"
"Stakeholder Communication",Soft Skill,Expert,6,"Board presentations, exec updates, cross-team","communication, stakeholder management, executive"
"Technical Writing",Soft Skill,Advanced,5,"PRDs, RFCs, API docs, runbooks","technical writing, documentation, PRDs"
"CI/CD",Domain,Advanced,3,"120K monthly builds, pipeline optimization","CI/CD, continuous integration, deployment, DevOps"
"German (B2)",Language,Intermediate,3,"Business conversations, presentations","German, Deutsch, DACH"
"Spanish (Native)",Language,Native,30,"Native speaker","Spanish, Español"
