ticket_id,requester,category,priority,subject,assignee,sla_deadline,status,created_at
INC-20260523-001,m.torres,Software,P2,Adobe Creative Cloud license not activating,IT Software,2026-05-23T17:00:00Z,open,2026-05-23T09:02:00Z
INC-20260523-002,a.kim,Access,P2,Need read access to the prod-analytics GCP project,IT Security,2026-05-23T17:00:00Z,in-progress,2026-05-23T09:15:00Z
INC-20260523-003,r.patel,Hardware,P3,MacBook Pro trackpad clicking erratically,IT Ops,2026-05-24T09:00:00Z,open,2026-05-23T09:41:00Z
INC-20260522-008,j.chen,Account,P2,Cannot log in to Salesforce after password reset,IT Ops,2026-05-22T17:00:00Z,breached,2026-05-22T09:05:00Z
INC-20260522-011,s.okonkwo,Network,P3,Wifi drops every 20 min in the Berlin office (floor 3),NetOps,2026-05-23T09:00:00Z,in-progress,2026-05-22T10:30:00Z
INC-20260521-004,l.nguyen,Software,P4,Request to evaluate Notion for the product team,IT Software,2026-05-25T09:00:00Z,open,2026-05-21T14:20:00Z
INC-20260521-007,p.garcia,Security,P1,Received suspicious email with my credentials in it,InfoSec,2026-05-21T13:00:00Z,resolved,2026-05-21T09:00:00Z
INC-20260520-013,d.wu,Hardware,P3,External monitor not detected on new Thunderbolt dock,IT Ops,2026-05-22T09:00:00Z,resolved,2026-05-20T11:00:00Z
INC-20260523-005,h.smith,Software,P3,Zoom audio stops working mid-call — headset issue?,IT Ops,2026-05-24T09:00:00Z,open,2026-05-23T10:05:00Z
INC-20260523-006,b.leung,Access,P2,Offboarded contractor still appears in Okta group eng-platform,IT Security,2026-05-23T17:00:00Z,open,2026-05-23T10:22:00Z
