ID,Title,Company,Location,Salary Range,Posted,Source,Match Score,Status,URL,Key Requirements,Notes
1,"Senior PM, Platform","Notion","San Francisco / Remote","$190K-$230K","2026-03-25","Referral",9,Applied,"","5+ yrs PM, platform experience, API knowledge","Strong culture fit. Dana Kim referral."
2,"PM, Growth","Linear","Remote","$175K-$210K","2026-03-28","LinkedIn",8,Screen,"","3+ yrs PM, growth/PLG experience, metrics-driven","Small team, high autonomy."
3,"Senior PM, Developer Experience","Vercel","Remote","$185K-$225K","2026-04-01","Career Page",9,Applied,"","5+ yrs PM, developer tools, DX portfolio","Perfect match for DX background."
4,"PM, Billing Platform","Stripe","San Francisco","$200K-$250K","2026-04-03","Referral",8,Applied,"","4+ yrs PM, payments/fintech, technical depth","Marcus Johnson referral. Top comp."
5,"Senior PM, Collaboration","Figma","San Francisco / Remote","$190K-$240K","2026-04-09","AngelList",7,Saved,"","5+ yrs PM, design tools, collaboration features","Need to tailor resume. Interesting but less direct match."
6,"PM, Dashboards","Datadog","New York / Remote","$180K-$220K","2026-03-15","LinkedIn",7,Rejected,"","3+ yrs PM, data visualization, observability","Generic rejection. No feedback loop."
7,"Senior PM","Retool","San Francisco","$180K-$215K","2026-03-20","Referral",8,Interview,"","5+ yrs PM, internal tools, builder personas","Priya Patel referral. Onsite completed."
8,"PM, Developer Tools","Supabase","Remote","$165K-$200K","2026-03-30","Career Page",8,Screen,"","3+ yrs PM, open source, developer community","Growing fast. Good DX angle."
9,"Senior PM, Platform","Airtable","San Francisco","$175K-$220K","2026-03-10","LinkedIn",6,Ghosted,"","5+ yrs PM, platform/API experience","No response after 4 weeks."
10,"Product Lead","Planetscale","Remote","$195K-$235K","2026-03-12","Referral",9,Offer,"","7+ yrs PM, databases, developer tools, leadership","Offer: $210K + equity. Sam Torres (CTO) connection."
11,"PM, Growth","Loom","Remote","$170K-$205K","2026-04-05","LinkedIn",7,Applied,"","3+ yrs PM, growth/activation, video/content","Decent match. Applied with tailored resume."
12,"Senior PM, Core","Dbt Labs","Remote","$185K-$225K","2026-04-10","Career Page",8,Saved,"","5+ yrs PM, data tools, analytics engineering","Need to research the team and product direction."
