ID,Company,Role,Stage,Applied Date,Last Update,Source,Contact,Salary Range,Match Score,Notes
1,"Notion","Senior PM, Platform",Interview,"2026-03-28","2026-04-10",Referral,"Dana Kim (Engineering Manager)","$190K-$230K",9,"Strong culture fit. 2nd round scheduled Apr 15."
2,"Linear","Product Manager, Growth",Screen,"2026-04-02","2026-04-08",LinkedIn,"Recruiter (Amy Chen)","$175K-$210K",8,"Completed phone screen, awaiting next steps."
3,"Vercel","Senior PM, Developer Experience",Applied,"2026-04-05","2026-04-05",Career Page,,"$185K-$225K",9,"Applied directly. Strong DX portfolio match."
4,"Stripe","PM, Billing Platform",Applied,"2026-04-07","2026-04-07",Referral,"Marcus Johnson (Staff Eng)","$200K-$250K",8,"Marcus submitted referral. Waiting for recruiter."
5,"Figma","Senior PM, Collaboration",Saved,"","",AngelList,,"$190K-$240K",7,"Job posted Apr 9. Need to tailor resume."
6,"Datadog","PM, Dashboards",Rejected,"2026-03-20","2026-04-01",LinkedIn,,"$180K-$220K",7,"Generic rejection after 2 weeks. No feedback."
7,"Retool","Senior PM",Interview,"2026-03-25","2026-04-09",Referral,"Priya Patel (PM Lead)","$180K-$215K",8,"Completed onsite. Waiting on decision."
8,"Supabase","PM, Developer Tools",Screen,"2026-04-03","2026-04-10",Career Page,"Recruiter (Jake Wilson)","$165K-$200K",8,"Technical screen scheduled Apr 14."
9,"Airtable","Senior PM, Platform",Ghosted,"2026-03-15","2026-03-15",LinkedIn,,"$175K-$220K",6,"No response after 4 weeks. Moving on."
10,"Planetscale","Product Lead",Offer,"2026-03-18","2026-04-11",Referral,"Sam Torres (CTO)","$195K-$235K",9,"Offer received! $210K base + equity. Deciding."
11,"Loom","PM, Growth",Applied,"2026-04-09","2026-04-09",LinkedIn,,"$170K-$205K",7,"Applied with tailored resume. Decent match."
12,"Dbt Labs","Senior PM, Core",Saved,"","",Career Page,,"$185K-$225K",8,"Interesting role. Need to research team."
