milestone,domain,typical_age_weeks_low,typical_age_weeks_high,achieved_date,age_weeks_at_achievement,photo_path,notes
Lifts head briefly during tummy time,motor,4,6,,,,
Social smile,social,6,8,,,,
Makes cooing sounds,language,6,8,,,,
Tracks objects with eyes,cognitive,4,8,,,,
Brings hands to mouth,motor,8,12,,,,
Holds head steady unsupported,motor,12,16,,,,
Rolls tummy to back,motor,12,16,,,,
Laughs out loud,social,16,18,,,,
Reaches for objects,motor,16,20,,,,
Rolls back to tummy,motor,16,24,,,,
Sits with support,motor,20,24,,,,
Babbles with consonants,language,20,24,,,,
Hand-to-hand transfer,motor,24,28,,,,
Sits unsupported,motor,24,32,,,,
Crawls or army crawls,motor,28,40,,,,
Pincer grasp emerging,motor,36,40,,,,
Pulls to stand,motor,36,44,,,,
Cruising along furniture,motor,36,48,,,,
First steps,motor,40,60,,,,
First words (specific),language,40,52,,,,
