festival,city,state,month,genre,vibe,visited
Coachella,Indio,CA,April,Indie/Pop/Hip-hop,Iconic but corporate; flower-crown energy,false
Stagecoach,Indio,CA,April,Country,Coachella's rowdy country sibling,false
Jazz Fest (NOLA Jazz & Heritage),New Orleans,LA,Late Apr - early May,Jazz/Soul/R&B/Cajun,Two weekends + crawfish + brass bands,false
Beale Street Music Festival,Memphis,TN,Early May,Rock/Blues/Country,Memphis in May kickoff,false
Bonnaroo,Manchester,TN,Mid-June,Indie/Jam/Hip-hop,Camping + 80000 hippies on a 700-acre farm,false
Governors Ball,New York,NY,Early June,Indie/Pop/Hip-hop,NYC's flagship festival,false
Firefly,Dover,DE,Mid-June,Indie/Pop/Rock,Camping festival on the speedway grounds,false
Electric Forest,Rothbury,MI,Late June,Electronic/Jam,The most magical-feeling US festival,false
Newport Folk Festival,Newport,RI,Late July,Folk/Americana,Where Dylan went electric — still the best curation,false
Newport Jazz Festival,Newport,RI,Early August,Jazz,The original — running since 1954,false
Lollapalooza,Chicago,IL,Late July - early Aug,Indie/Pop/Hip-hop,Grant Park + Chicago skyline,false
Pitchfork Music Festival,Chicago,IL,Mid-July,Indie/Experimental,Smaller curated alternative to Lolla,false
Outside Lands,San Francisco,CA,Early August,Indie/Pop/Hip-hop,Golden Gate Park + wine country pavilion,false
Burning Man,Black Rock City,NV,Late Aug - early Sep,All/None,Not a music festival but the biggest art party,false
Made In America,Philadelphia,PA,Labor Day weekend,Hip-hop/Pop,Jay-Z's curated festival on the Parkway,false
North Coast,Chicago,IL,Labor Day weekend,Electronic,Chicago's electronic flagship,false
Riot Fest,Chicago,IL,Mid-September,Punk/Rock,Punk reunions + nostalgia run hard,false
Austin City Limits,Austin,TX,Two weekends in October,Indie/Pop/Country,Texas weather + 8 stages in Zilker Park,false
Hardly Strictly Bluegrass,San Francisco,CA,Early October,Bluegrass/Folk,Free festival in Golden Gate Park,false
Voodoo Music Experience,New Orleans,LA,Halloween weekend,Rock/Hip-hop/Electronic,Halloween costumes + City Park,false
Fun Fun Fun Fest / Sound on Sound,Texas Hill Country,TX,Varies,Indie/Punk,Smaller curated Austin alternative,false
Desert Daze,Lake Perris,CA,Mid-October,Psych Rock/Indie,Psychedelic festival in the SoCal desert,false
III Points,Miami,FL,Mid-October,Electronic/Indie,Wynwood arts district takeover,false
Ultra Music Festival,Miami,FL,Late March,Electronic,The EDM festival — Bayfront Park downtown,false
Movement Detroit,Detroit,MI,Memorial Day weekend,Techno,Detroit's techno heritage festival,false
Sasquatch (defunct as of 2018),George,WA,Late May,Indie,The Gorge Amphitheatre — most scenic venue in America,false
Pickathon,Happy Valley,OR,Early August,Indie/Folk/World,Tiny curated multi-stage festival on a farm,false
South by Southwest (SXSW),Austin,TX,Mid-March,All,Music + film + tech for two weeks,false
Treefort Music Fest,Boise,ID,Late March,Indie,One of the best indie sleeper festivals,false
Burger Boogaloo,Oakland,CA,Early July,Garage/Punk,Hosted by John Waters; weirder is better,false
Levitation,Austin,TX,Early November,Psych Rock,Multi-venue downtown psych takeover,false
