state,fair_name,city,typical_dates,signature_attraction,attendance_rough,visited
Alabama,Alabama National Fair,Montgomery,Late Oct - early Nov,World's largest catfish stew,200000,false
Alaska,Alaska State Fair,Palmer,Late Aug - early Sep,Giant vegetables (1500-lb pumpkins),300000,false
Arizona,Arizona State Fair,Phoenix,Mid-Oct - early Nov,Demolition derby + indie concerts,1000000,false
Arkansas,Arkansas State Fair,Little Rock,Mid-Oct,Pig races + livestock judging,400000,false
California,California State Fair,Sacramento,Mid-July,Wine country pavilion + horse racing,650000,false
Colorado,Colorado State Fair,Pueblo,Late Aug - early Sep,Junior livestock auction + rodeo,500000,false
Connecticut,Big E (regional for all of New England — held in MA),West Springfield MA,Mid-Sep - early Oct,Six-state pavilion buildings,1500000,false
Delaware,Delaware State Fair,Harrington,Late July,Horse racing + demolition derby,300000,false
Florida,Florida State Fair,Tampa,Early Feb,Cracker Country living-history village,500000,false
Georgia,Georgia National Fair,Perry,Early Oct,World's largest stage cooking competition,500000,false
Hawaii,50th State Fair,Honolulu,Late May - early Jul (weekends),E.K. Fernandez carnival rides,300000,false
Idaho,Western Idaho Fair,Boise,Mid-Aug,Idaho potato everything,250000,false
Illinois,Illinois State Fair,Springfield,Mid-Aug,Butter cow + politicians' day,500000,false
Indiana,Indiana State Fair,Indianapolis,Late July - early Aug,Indiana corn cob (giant butter sculpture),900000,false
Iowa,Iowa State Fair,Des Moines,Mid-Aug,Butter cow + 70+ foods on a stick + presidential candidates,1100000,false
Kansas,Kansas State Fair,Hutchinson,Mid-Sep,Ye Old Mill ride from 1915,350000,false
Kentucky,Kentucky State Fair,Louisville,Mid-Aug,World's Championship Horse Show (Saddlebred),600000,false
Louisiana,State Fair of Louisiana,Shreveport,Late Oct - early Nov,Cajun food row,400000,false
Maine,Fryeburg Fair,Fryeburg,Early Oct,Maine's Blue Ribbon Classic — 175 years old,300000,false
Maryland,Maryland State Fair,Timonium,Late Aug - early Sep,Pimlico-style horse racing,500000,false
Massachusetts,Big E,West Springfield,Mid-Sep - early Oct,The state buildings (one per New England state),1500000,false
Michigan,Upper Peninsula State Fair,Escanaba,Mid-Aug,UP timber-sports competition,90000,false
Minnesota,Minnesota State Fair,St. Paul,Late Aug - Labor Day,Anything-on-a-stick + Sweet Martha's cookies,2000000,false
Mississippi,Mississippi State Fair,Jackson,Early-mid Oct,Southern pageantry,400000,false
Missouri,Missouri State Fair,Sedalia,Mid-Aug,Sale of Champions livestock auction,360000,false
Montana,MontanaFair,Billings,Mid-Aug,PRCA rodeo,210000,false
Nebraska,Nebraska State Fair,Grand Island,Late Aug - early Sep,Husker tractor pulls,350000,false
Nevada,Nevada State Fair,Reno,Late Aug,Smaller and quirkier — destination fair,80000,false
New Hampshire,Hopkinton State Fair,Contoocook,Labor Day weekend,New England-style country fair,80000,false
New Jersey,New Jersey State Fair,Augusta,Early Aug,Sussex County agricultural roots,200000,false
New Mexico,New Mexico State Fair,Albuquerque,Mid-Sep,Indian Village + Spanish Village,500000,false
New York,Great New York State Fair,Syracuse,Late Aug - Labor Day,Butter sculpture + dairy bar 25-cent milk,1300000,false
North Carolina,North Carolina State Fair,Raleigh,Mid-Oct,Folk Festival + livestock parades,1000000,false
North Dakota,North Dakota State Fair,Minot,Late July,Carnival rides + agricultural showcase,300000,false
Ohio,Ohio State Fair,Columbus,Late July - early Aug,Butter cow + sale of champions,800000,false
Oklahoma,Oklahoma State Fair,Oklahoma City,Mid-late Sep,Disney on Ice + Indian Village,1000000,false
Oregon,Oregon State Fair,Salem,Late Aug - early Sep,Best in show wine + cheese,400000,false
Pennsylvania,Pennsylvania Farm Show,Harrisburg,Early Jan,Largest indoor agricultural exposition in America,500000,false
Rhode Island,Washington County Fair,Richmond,Mid-Aug,Smallest state but a real country fair,80000,false
South Carolina,South Carolina State Fair,Columbia,Mid-Oct,Rocket ride + The Big Pumpkin Patch,460000,false
South Dakota,South Dakota State Fair,Huron,Late Aug - early Sep,Truck pulls + Native American village,200000,false
Tennessee,Tennessee State Fair,Lebanon,Mid-Aug,Country music acts on the daily,150000,false
Texas,State Fair of Texas,Dallas,Late Sep - mid Oct,Big Tex (52-ft cowboy) + Texas-OU football,2300000,false
Utah,Utah State Fair,Salt Lake City,Early-mid Sep,LDS heritage + rodeo,300000,false
Vermont,Champlain Valley Fair,Essex Junction,Late Aug - early Sep,Lake Champlain agricultural showcase,250000,false
Virginia,State Fair of Virginia,Doswell,Late Sep - early Oct,Anheuser-Busch Clydesdales appearance,200000,false
Washington,Washington State Fair,Puyallup,Early-mid Sep,Scones (the Fisher Scones tradition),1100000,false
West Virginia,West Virginia State Fair,Lewisburg,Mid-Aug,Mountain music daily,150000,false
Wisconsin,Wisconsin State Fair,West Allis,Early-mid Aug,Cream Puffs + Original Cream Puff Pavilion,1000000,false
Wyoming,Wyoming State Fair,Douglas,Early-mid Aug,Wyoming's smallest state but big rodeo,75000,false
